order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
805304,9469,prior,10,0,12,8.0
3390365,54900,prior,16,0,15,21.0
3341878,102056,prior,8,3,18,3.0
2554056,105973,prior,15,6,14,9.0
2655564,53554,prior,28,3,7,5.0
3059538,5541,prior,13,2,15,7.0
1619488,168019,prior,49,1,14,5.0
1342008,61690,prior,33,1,9,6.0
2808975,166840,prior,8,0,12,7.0
2334033,133417,prior,42,6,13,4.0
3022735,144776,prior,1,0,14,
1170540,102457,prior,5,1,15,6.0
2947703,191788,prior,20,5,9,3.0
751611,152436,prior,12,6,20,6.0
1087674,26440,prior,43,5,9,7.0
1517979,52731,prior,6,5,15,27.0
519651,34922,prior,2,0,16,9.0
1697530,140592,prior,4,1,2,14.0
1128998,164118,prior,26,1,9,7.0
2561430,97669,prior,85,1,19,7.0
383437,127088,prior,3,6,12,4.0
871386,123224,test,7,6,14,19.0
3076619,167083,prior,9,0,19,11.0
3139934,149012,prior,20,3,12,9.0
955386,168743,prior,30,2,14,30.0
3318585,197185,prior,6,1,10,20.0
2423931,13653,prior,6,6,12,4.0
177355,189680,prior,30,0,13,3.0
663886,12050,prior,6,4,9,10.0
220030,181426,prior,6,5,17,30.0
2229313,28103,prior,1,3,9,
2170458,19501,prior,7,3,15,8.0
2731954,89598,prior,5,6,10,29.0
3238237,157162,prior,32,6,8,3.0
2547501,151005,prior,24,2,15,11.0
2538942,187550,prior,97,6,7,2.0
876280,155723,prior,50,3,12,3.0
860932,197760,prior,2,1,14,6.0
2473490,161221,prior,3,4,23,30.0
3220004,161200,prior,27,1,12,4.0
22104,191304,prior,3,5,12,30.0
1900633,87471,prior,5,5,23,30.0
1233987,83976,prior,11,1,8,3.0
190881,64658,prior,2,4,12,5.0
2711585,22992,prior,18,2,14,15.0
2187041,156596,prior,6,2,11,15.0
1506380,100833,prior,30,2,15,5.0
1006618,172854,prior,3,6,20,30.0
887849,77368,prior,2,3,17,20.0
2605970,47526,prior,13,0,22,7.0
74855,64290,prior,13,3,10,28.0
2616848,14651,prior,7,6,20,21.0
1367075,87151,prior,16,0,10,9.0
1614118,48971,prior,14,2,9,26.0
2562772,181934,prior,3,6,18,30.0
1115067,82004,prior,33,3,14,2.0
702618,22362,prior,24,3,6,9.0
3069100,34459,prior,9,5,10,5.0
2545358,103099,prior,3,1,13,0.0
2443869,198901,prior,10,0,12,12.0
330386,134984,prior,8,4,11,3.0
516495,100629,prior,10,4,11,2.0
875203,202832,prior,1,1,12,
1343318,123933,prior,4,2,13,19.0
1707646,176546,prior,2,2,12,4.0
2861932,86366,prior,11,5,17,29.0
941871,127092,prior,4,5,10,20.0
1020978,51580,prior,10,1,15,22.0
1692728,88772,prior,7,6,16,4.0
2093133,51197,prior,10,1,15,19.0
2508602,1683,prior,51,2,8,2.0
2122997,115314,prior,39,4,15,0.0
1940254,84144,prior,9,2,17,7.0
1811800,107665,prior,4,0,12,9.0
3137011,155622,prior,5,4,6,6.0
1716724,81832,prior,1,5,8,
2106978,69480,prior,47,1,7,7.0
62349,31325,test,5,0,18,30.0
634394,118129,prior,1,4,13,
108743,17211,prior,5,3,11,16.0
984606,200112,prior,18,2,15,4.0
2971009,36385,prior,14,6,16,21.0
817414,169567,prior,41,1,15,0.0
509984,140174,prior,21,2,10,6.0
874288,56256,prior,16,0,12,6.0
2037948,75367,prior,4,1,11,9.0
2788942,133466,prior,16,1,10,19.0
2448393,205673,prior,13,0,16,30.0
697782,94950,prior,11,0,9,9.0
3218972,197945,prior,18,0,20,7.0
2119226,123061,train,17,6,10,6.0
2664754,151659,prior,9,5,13,14.0
512100,57585,prior,30,4,11,0.0
2114320,90133,prior,30,3,11,4.0
2037502,179090,prior,12,6,12,7.0
2212395,181062,prior,19,3,20,9.0
2525804,117686,prior,6,1,17,4.0
2043199,2350,prior,3,1,14,3.0
2678949,109090,prior,5,3,11,13.0
1894287,66229,prior,37,5,8,1.0
2572778,39106,prior,4,0,11,30.0
344351,120952,prior,6,1,14,6.0
88894,60371,prior,8,0,9,30.0
2223349,140825,prior,2,2,11,30.0
3201695,148237,prior,14,3,16,12.0
1881599,165684,prior,67,2,4,3.0
2226359,183650,prior,26,2,16,12.0
2463689,32229,prior,75,5,8,5.0
3293085,154233,prior,2,2,11,0.0
1900814,52412,prior,25,0,18,6.0
3052060,122731,prior,4,5,23,21.0
1151291,2933,prior,8,0,15,1.0
3306572,12123,prior,1,4,14,
1399658,76281,train,15,1,18,29.0
3022962,190139,prior,59,5,13,2.0
2574148,78695,prior,1,0,11,
1869355,158415,prior,70,3,19,3.0
183766,55657,prior,22,4,21,4.0
687353,20608,prior,2,2,12,18.0
208982,180501,prior,6,2,22,10.0
175400,117276,prior,2,0,16,30.0
1836348,104298,prior,7,4,14,9.0
1995201,69696,prior,6,3,18,3.0
1056697,11990,prior,5,2,10,30.0
2469712,57262,prior,4,4,13,30.0
1625596,23343,prior,6,2,12,7.0
1708969,202108,prior,10,2,10,27.0
581677,156379,train,14,0,14,30.0
3193911,169829,prior,16,6,14,7.0
2313521,117086,prior,23,5,9,3.0
976331,101021,prior,13,3,19,5.0
3276141,10496,prior,10,4,10,6.0
953774,169788,prior,13,5,11,7.0
1464830,183995,prior,15,3,8,22.0
3025550,187890,prior,8,0,9,7.0
2033719,34609,prior,6,0,11,9.0
1936693,178007,prior,7,2,11,21.0
152447,100747,prior,8,6,11,30.0
350109,184191,prior,1,1,7,
884321,92361,prior,11,3,23,4.0
1427579,11767,prior,36,0,13,2.0
238123,156895,prior,20,1,11,7.0
451224,164625,prior,4,0,16,7.0
1866244,188677,prior,37,5,20,2.0
2362586,204112,prior,59,5,17,4.0
2917285,49477,prior,11,6,15,6.0
1295573,97381,prior,15,6,10,15.0
2858705,109858,prior,13,4,16,6.0
700899,199830,train,5,6,15,14.0
832169,199853,prior,11,3,8,4.0
1567995,84515,prior,21,0,9,9.0
1653709,199777,prior,8,3,11,30.0
611622,34969,prior,15,2,14,5.0
878906,100716,prior,2,1,11,8.0
152750,50672,prior,1,5,13,
2777332,22372,prior,12,5,10,19.0
2451754,183218,prior,3,2,15,5.0
851846,112529,prior,24,5,8,2.0
1330784,203750,prior,96,4,6,0.0
1675570,119524,prior,3,0,15,4.0
3025019,70686,prior,4,2,20,30.0
1425928,140212,prior,27,1,16,24.0
3367712,176478,prior,88,1,12,5.0
2518372,180882,prior,1,2,21,
303796,183313,prior,1,1,11,
1744134,167053,prior,2,1,8,26.0
1420687,166999,prior,4,1,12,9.0
1350520,130461,prior,42,6,11,10.0
1168617,46907,prior,14,1,15,0.0
2592298,202293,prior,28,6,9,7.0
509448,21941,prior,3,3,18,6.0
978806,54921,prior,25,3,21,2.0
821893,176290,prior,31,2,8,14.0
719383,40460,prior,5,0,17,30.0
211375,6590,prior,2,0,12,26.0
3174355,143024,prior,9,5,18,4.0
2040842,188413,prior,18,3,11,8.0
3006984,192043,prior,2,0,13,1.0
3270344,1496,prior,1,5,15,
2599923,20647,prior,1,0,13,
1395153,21781,prior,1,6,13,
3274643,32534,prior,1,4,16,
1023502,111981,prior,5,6,16,7.0
28671,174082,prior,22,4,22,4.0
2778430,172517,prior,9,4,10,7.0
1387215,59367,prior,13,3,22,22.0
16750,62056,prior,5,0,12,30.0
569798,131392,prior,2,6,14,30.0
2752758,74915,prior,24,4,9,4.0
2260653,79115,prior,21,5,14,20.0
1009138,67475,prior,1,5,20,
1920238,4784,prior,12,0,15,30.0
1492475,58548,prior,5,1,13,13.0
3346577,142301,prior,4,2,13,2.0
252139,90536,prior,1,4,8,
1043853,26486,train,13,4,18,0.0
1761874,167283,prior,3,2,13,6.0
1771377,111537,prior,18,1,16,16.0
1214121,114659,prior,4,6,0,7.0
344028,108031,prior,71,2,23,5.0
1087708,97323,prior,22,0,11,7.0
2346297,40855,prior,26,2,19,2.0
3304142,3584,prior,53,2,13,9.0
664679,181429,test,20,0,12,2.0
613689,78974,prior,13,6,10,6.0
2350020,153666,prior,10,4,13,9.0
1233473,190200,prior,9,1,10,5.0
2295448,122753,prior,63,5,9,4.0
2538179,86143,prior,5,5,13,4.0
606053,166191,test,23,4,18,6.0
249243,178910,prior,17,2,7,8.0
735799,179708,prior,4,5,17,14.0
2725342,159302,prior,6,4,5,7.0
2797270,170927,prior,2,6,13,26.0
1201730,162142,prior,10,0,10,7.0
1120411,98846,prior,38,5,20,7.0
3056168,36445,prior,1,6,12,
1186004,35839,prior,10,2,8,30.0
3152254,135400,prior,1,5,12,
417776,88449,prior,5,4,20,21.0
1959836,85781,train,10,3,20,25.0
2658553,113999,prior,6,6,9,10.0
2540271,156553,prior,23,6,15,6.0
2237863,204118,test,7,0,20,7.0
1946836,74388,prior,15,1,10,4.0
1510878,7044,prior,29,2,10,8.0
791041,119506,prior,5,2,16,6.0
1945736,141911,prior,1,5,16,
3098464,88506,prior,42,2,14,10.0
1428470,201776,prior,48,4,6,2.0
2854300,7311,prior,1,2,18,
1900608,106011,prior,35,4,14,13.0
1086383,130986,prior,37,1,9,7.0
2307617,50228,prior,1,4,19,
3060447,60047,prior,34,1,9,4.0
910591,57601,prior,26,5,9,7.0
921576,28545,prior,54,3,15,17.0
1712823,205745,prior,5,4,10,10.0
3210698,135941,prior,33,3,22,12.0
1259163,189276,prior,8,2,14,6.0
592484,111823,prior,3,3,10,15.0
1247457,36669,prior,25,5,10,16.0
2932605,30346,prior,5,0,10,10.0
2731130,192558,prior,54,1,20,6.0
372814,184600,prior,1,5,15,
1214052,138528,prior,25,2,21,3.0
2537720,39728,prior,55,5,17,8.0
275839,148586,prior,1,3,14,
460787,164194,prior,10,2,15,5.0
2659263,67270,prior,7,2,20,10.0
72091,86243,prior,3,3,13,8.0
1725581,93822,prior,4,2,10,7.0
2100863,91351,prior,48,6,11,4.0
3373350,127204,prior,5,0,8,8.0
3327116,135983,prior,7,0,5,12.0
2477158,165292,prior,9,3,18,30.0
1073713,84816,prior,5,0,19,7.0
1407969,50855,prior,12,1,15,8.0
21694,51777,prior,18,6,14,6.0
285318,59675,prior,41,0,11,8.0
2313028,184141,prior,10,4,16,30.0
2244603,161535,test,6,6,14,30.0
630698,30077,prior,72,1,11,2.0
1697273,102082,prior,16,6,11,5.0
815944,36421,prior,2,5,12,30.0
347929,14249,prior,49,4,7,5.0
153942,124199,prior,45,0,10,1.0
873384,70754,prior,13,1,6,30.0
100904,35182,prior,2,6,12,2.0
2012990,80828,prior,2,2,8,5.0
2647544,36588,prior,70,2,18,1.0
3357342,48169,prior,17,3,15,24.0
3368171,144530,prior,9,3,17,30.0
3189536,89084,prior,6,6,12,7.0
1969612,158300,prior,18,4,19,6.0
2408151,46546,prior,15,0,18,14.0
3284128,106022,prior,1,6,8,
925808,167589,prior,16,2,14,12.0
2009451,159460,prior,20,2,16,6.0
2531623,124851,train,5,3,18,3.0
184866,53308,prior,7,0,10,30.0
3228543,91609,prior,1,2,1,
2359921,50396,prior,24,5,9,2.0
1253911,12964,prior,5,5,10,6.0
2700832,14762,prior,3,1,11,5.0
2536494,53472,prior,15,3,13,7.0
3209010,118776,prior,40,0,10,2.0
3365626,201985,prior,44,1,14,2.0
718536,59951,prior,14,5,15,1.0
2910559,133068,prior,6,6,23,14.0
218786,24620,test,7,5,14,30.0
1503803,90883,prior,7,1,11,4.0
2819482,28632,prior,18,0,11,7.0
1755976,190631,prior,10,4,8,3.0
1388344,166068,prior,6,2,18,7.0
3085670,9880,prior,7,1,6,30.0
3401210,92090,prior,2,6,17,7.0
2318318,77954,train,4,4,12,20.0
2405079,205903,prior,8,2,16,2.0
1596328,2383,prior,60,3,16,2.0
877087,163295,prior,24,3,21,14.0
1824750,138324,prior,5,6,8,8.0
520561,24081,prior,20,0,18,2.0
1714560,142433,prior,1,3,11,
3369098,17067,train,5,1,15,30.0
380039,187531,train,5,3,16,30.0
1741023,134341,prior,2,5,15,30.0
2992601,186527,prior,22,4,19,10.0
1710999,33513,prior,80,4,14,1.0
417523,37981,prior,16,6,19,22.0
2172220,24386,prior,24,5,13,22.0
2197687,161285,prior,3,0,17,11.0
2972908,4773,prior,3,6,10,6.0
2392618,146909,prior,5,3,13,7.0
1309977,100146,prior,1,0,13,
2763093,167847,prior,14,1,13,21.0
1523528,20846,prior,28,2,14,30.0
2766441,119186,prior,6,1,14,30.0
366625,108791,prior,8,0,11,15.0
3006199,31033,prior,2,5,11,22.0
1676651,170092,train,20,6,22,19.0
1459909,159400,prior,13,4,19,6.0
2062336,169532,prior,12,3,15,27.0
3097909,51821,test,16,6,19,21.0
1568412,75308,prior,7,0,13,14.0
2918032,7925,test,11,6,9,15.0
3055045,135634,prior,3,3,16,13.0
457750,21335,prior,24,0,15,13.0
417154,3593,prior,18,5,9,5.0
239630,16774,prior,1,3,10,
1154997,84733,prior,13,0,12,7.0
3189609,169829,prior,19,4,15,12.0
1457885,189816,prior,7,1,17,7.0
1245987,179491,prior,2,5,15,1.0
286109,30392,prior,8,6,16,30.0
2891448,67534,prior,6,3,16,4.0
3405425,136340,prior,29,0,17,16.0
1650391,124190,prior,2,0,8,30.0
2039855,47345,prior,6,0,10,2.0
1430597,120151,prior,46,1,17,4.0
3341988,77224,prior,20,0,9,6.0
2491894,115481,prior,49,5,9,2.0
2330284,175166,prior,6,4,13,7.0
1638306,201753,test,11,6,14,13.0
1366890,70804,prior,2,2,12,1.0
3062430,86153,prior,6,1,15,11.0
1388476,84450,prior,20,0,13,28.0
2150330,162681,prior,7,6,9,7.0
1164061,133532,prior,22,3,9,3.0
2848456,82923,prior,21,2,15,4.0
2707734,153016,prior,97,5,19,5.0
692680,100554,prior,4,6,9,30.0
2050063,59399,prior,22,2,8,4.0
2512472,16358,prior,1,6,13,
2281863,46089,prior,12,6,17,30.0
3096363,50491,prior,5,3,12,3.0
1348969,58226,prior,36,0,8,8.0
2106829,67531,prior,52,1,10,3.0
1082244,1644,train,16,0,7,2.0
796283,95236,prior,55,3,18,2.0
2649469,20730,prior,14,1,11,5.0
3227764,22443,prior,8,6,12,12.0
3310351,83494,prior,62,2,21,1.0
929295,79368,prior,10,3,15,30.0
2333785,4655,prior,33,1,12,30.0
510890,32765,prior,13,4,1,30.0
3100255,79488,prior,1,0,14,
505326,165484,prior,7,2,17,15.0
1158218,109315,prior,15,5,16,30.0
1771314,85862,prior,8,3,8,1.0
3286609,178605,prior,10,6,11,12.0
2346396,111906,prior,5,5,12,17.0
3057635,170384,prior,23,5,11,7.0
175346,156522,prior,25,4,18,7.0
994727,159728,prior,15,2,13,7.0
1087073,114824,prior,22,5,8,0.0
1157571,51566,prior,3,0,14,10.0
522568,201571,test,23,5,15,14.0
1256893,129652,prior,39,5,18,3.0
1949556,64241,prior,1,6,8,
3402377,8502,prior,8,5,16,5.0
2355639,109347,prior,64,1,6,4.0
2532732,134083,prior,1,1,18,
1998801,71884,prior,25,3,9,2.0
133531,108566,prior,22,0,21,5.0
659452,115523,prior,8,0,14,6.0
1340661,100840,prior,15,4,12,30.0
70457,137004,prior,3,2,18,18.0
517669,161388,prior,3,2,21,19.0
2297151,188138,prior,1,2,16,
986049,17830,prior,24,0,16,4.0
430436,43445,prior,40,0,15,1.0
1043145,101064,prior,17,5,16,20.0
1482959,192846,prior,3,0,16,13.0
1579470,50583,prior,43,4,16,4.0
730498,106548,prior,7,1,11,7.0
2971166,16127,prior,3,6,22,2.0
413151,51156,prior,3,5,13,2.0
3058813,170481,prior,11,1,16,0.0
2492553,146381,prior,33,2,12,1.0
867269,121109,prior,34,5,18,6.0
3149045,107239,prior,10,1,15,4.0
2522115,32156,prior,1,2,18,
1811951,49744,prior,33,1,11,14.0
663841,10300,prior,2,0,13,30.0
2828103,4762,prior,13,2,20,10.0
2126603,124839,prior,6,4,8,12.0
1363224,6325,prior,33,3,23,0.0
1490176,2899,prior,57,4,10,3.0
2834733,134682,prior,9,0,11,25.0
932207,40082,prior,17,5,18,1.0
1023572,48160,prior,8,2,15,3.0
2954804,174359,prior,1,1,20,
2378650,43251,train,6,2,8,30.0
298101,102470,prior,17,1,19,7.0
3248147,70547,prior,16,5,14,3.0
2860406,119134,prior,9,5,9,8.0
1134017,145753,prior,17,1,14,8.0
106626,79856,prior,4,4,12,16.0
494843,78859,prior,11,3,19,2.0
3192364,175912,prior,14,0,17,7.0
1761723,28830,prior,8,0,10,12.0
1717826,103245,prior,41,2,16,7.0
2065557,118268,prior,36,3,10,6.0
1245596,123366,prior,40,3,15,2.0
483338,195176,prior,78,1,13,8.0
136494,116145,prior,49,6,12,5.0
1479433,169834,prior,3,2,12,4.0
2942869,118671,prior,1,6,12,
1004360,39941,prior,8,5,12,7.0
3015035,49495,prior,11,6,15,17.0
1310813,98120,prior,4,0,9,26.0
2052623,140114,prior,22,3,15,6.0
1105181,100414,prior,39,2,15,0.0
300280,182342,prior,2,1,11,30.0
1011130,70356,prior,10,3,11,4.0
2451904,199000,prior,10,0,16,14.0
626930,191694,prior,9,5,16,1.0
2600913,17932,prior,23,6,20,7.0
2524518,152881,prior,12,4,19,3.0
950389,159117,prior,4,5,14,2.0
2994363,132083,prior,31,5,16,5.0
1736580,100353,prior,15,1,9,7.0
1143717,19467,prior,26,4,19,1.0
2707611,56053,prior,24,6,9,12.0
1085156,91941,prior,7,1,17,7.0
2113639,143089,prior,20,6,11,4.0
3001069,151559,prior,26,6,12,4.0
2887919,73893,prior,4,5,12,9.0
1588227,179556,prior,18,2,8,19.0
406609,83608,prior,10,4,12,2.0
2285202,4412,prior,3,3,11,8.0
1945317,11205,prior,28,3,14,8.0
636740,140309,prior,8,5,14,6.0
1494344,144208,test,6,4,6,8.0
1071945,178520,prior,18,1,9,7.0
366373,31668,prior,1,2,8,
2817346,171132,prior,35,2,20,12.0
2493880,28897,prior,9,3,15,30.0
1715242,12995,prior,28,6,12,9.0
73387,83746,prior,13,1,17,30.0
1544713,10850,prior,28,6,18,11.0
2343352,82834,prior,24,1,14,1.0
176608,195931,prior,18,5,11,11.0
3359275,168130,prior,35,1,11,7.0
382838,126882,prior,2,0,14,1.0
1123113,54256,prior,4,2,10,17.0
2044117,70598,prior,11,2,4,16.0
1396983,137932,prior,19,4,18,13.0
2825614,36497,prior,3,2,11,30.0
2702054,137138,prior,27,5,16,8.0
2344688,161612,prior,9,3,17,20.0
3279660,68749,train,13,1,12,3.0
82374,108809,prior,3,6,8,30.0
3024346,204762,prior,26,0,10,5.0
3406116,204641,prior,1,2,19,
1485039,127689,prior,12,1,10,10.0
2084360,114596,prior,8,3,14,5.0
3207341,163035,prior,2,3,3,6.0
221143,150857,prior,7,6,18,6.0
2051593,48716,prior,5,3,19,17.0
2237547,28235,prior,8,0,10,3.0
3084413,202853,prior,29,5,12,30.0
282419,7015,prior,49,2,6,5.0
3373120,76169,prior,27,1,16,7.0
3313814,102654,prior,4,6,8,7.0
472532,143825,prior,24,0,16,8.0
465570,157751,prior,27,0,18,8.0
420775,109989,prior,32,2,10,5.0
2944731,151426,prior,1,6,18,
685517,167123,prior,9,0,23,30.0
2695442,35476,prior,11,5,13,9.0
2245984,204654,prior,24,6,10,4.0
1814835,94512,prior,23,3,20,6.0
2865492,179663,prior,4,4,9,15.0
189779,93524,prior,18,5,10,7.0
1886962,15487,prior,15,5,21,19.0
984311,132807,prior,9,4,18,30.0
85550,66637,prior,3,3,12,20.0
2569004,3593,prior,36,5,18,5.0
2457694,181608,prior,14,4,13,7.0
2891458,51576,prior,24,1,17,1.0
2140884,76209,prior,14,5,9,10.0
602071,44392,prior,2,5,20,0.0
141455,176660,prior,1,0,15,
3097190,138345,prior,1,2,9,
711710,204549,prior,25,1,14,15.0
2801637,126311,prior,5,0,11,7.0
3312511,124199,prior,30,5,0,2.0
398517,166182,prior,5,6,10,1.0
1713990,92801,prior,10,4,18,7.0
2493336,93151,prior,14,3,10,5.0
934091,21057,prior,1,2,15,
2926984,27573,prior,1,4,14,
1636360,87595,prior,10,4,15,18.0
657354,146714,prior,42,1,11,4.0
3159302,169209,prior,20,2,13,1.0
2973782,156812,prior,9,2,13,24.0
1756313,168889,prior,6,5,15,13.0
3383529,57511,prior,8,4,23,5.0
1855773,8198,prior,6,0,18,8.0
1941603,133717,test,22,6,20,2.0
2450130,138304,prior,32,0,15,6.0
1087207,189848,train,11,3,10,28.0
2747575,63653,prior,16,0,11,13.0
2692772,144738,prior,7,1,14,9.0
1254759,165184,prior,3,1,12,7.0
1397164,58264,prior,13,0,14,2.0
1354985,72097,prior,51,4,11,10.0
719395,43614,prior,19,1,12,7.0
2654147,54440,prior,6,4,12,30.0
447566,60642,prior,27,4,11,7.0
1976079,78623,prior,7,4,19,23.0
2453872,136997,prior,4,0,15,7.0
2105002,81520,prior,2,1,17,24.0
1915788,19253,prior,33,2,11,8.0
301543,46321,prior,51,2,14,4.0
851990,86903,train,4,0,14,30.0
384020,21171,prior,10,4,14,6.0
2829758,193939,prior,16,1,15,1.0
1827642,171185,train,19,3,18,10.0
131550,125872,prior,21,0,16,7.0
749676,78331,prior,44,5,9,4.0
2677473,84820,prior,4,4,11,9.0
186245,54908,prior,1,6,12,
1930850,16270,prior,28,5,15,8.0
2651314,189243,prior,4,5,19,6.0
2419192,22949,prior,2,4,16,30.0
305585,11985,prior,9,5,11,9.0
3167962,149287,prior,10,0,10,2.0
420386,38614,prior,4,5,7,9.0
1854639,42442,prior,7,0,9,30.0
2367519,167233,prior,27,6,17,6.0
3032810,158259,prior,1,4,10,
2977976,65003,prior,22,3,11,5.0
1300124,164113,prior,11,1,14,4.0
717934,179440,prior,20,5,8,14.0
1769698,121116,prior,4,5,13,4.0
573581,204455,prior,80,4,14,3.0
445511,192473,prior,10,4,11,2.0
2917996,131905,prior,11,6,17,12.0
3249527,72589,prior,12,6,22,7.0
987254,108800,prior,4,6,22,11.0
1535025,136121,prior,15,2,8,20.0
3068254,63103,prior,1,6,23,
2919716,127782,prior,23,0,16,5.0
1049098,26991,prior,49,0,12,1.0
1959684,174402,prior,12,3,17,5.0
1932337,117426,prior,31,2,15,17.0
1327153,80266,prior,13,1,20,3.0
2593216,38351,prior,8,1,12,2.0
1549778,38930,prior,52,4,11,7.0
3256524,76293,prior,9,6,20,14.0
2320086,119468,prior,7,5,10,4.0
2612790,174886,prior,16,5,13,9.0
2481584,192239,prior,2,3,15,11.0
1653601,124407,prior,17,5,8,5.0
3180370,20842,prior,12,4,9,3.0
160236,193592,prior,3,0,15,5.0
442137,87402,prior,23,0,12,8.0
2134414,40754,prior,15,4,17,8.0
3339135,177189,prior,41,0,9,3.0
2538054,137700,train,8,0,18,18.0
161285,79129,prior,31,4,8,1.0
2498322,31566,prior,30,1,13,16.0
3395930,69182,prior,3,5,10,1.0
3159799,60090,prior,6,1,12,11.0
775098,99352,prior,88,4,13,4.0
348781,82619,prior,5,5,13,24.0
1371918,187,prior,7,3,9,4.0
3275473,148290,prior,25,2,14,8.0
1669875,73994,prior,29,3,6,7.0
1562023,28825,prior,29,1,8,12.0
1209740,77962,prior,3,3,14,30.0
1825894,103642,prior,31,0,22,5.0
2039315,135613,prior,4,1,12,16.0
1280672,94495,prior,3,5,7,4.0
284492,175781,prior,2,3,8,17.0
811372,27042,prior,24,1,9,8.0
1808170,92111,prior,98,1,11,0.0
1361883,34737,prior,54,6,12,4.0
1345792,62323,train,6,4,19,3.0
2397373,174390,prior,17,4,19,5.0
1590487,188708,prior,19,3,5,9.0
1733307,72498,prior,2,6,9,30.0
1822245,103061,prior,4,6,9,30.0
3029171,99627,prior,2,0,14,5.0
183293,111990,prior,2,4,10,16.0
1073502,14081,prior,14,5,8,11.0
1081419,12720,prior,16,1,12,5.0
1863725,70491,prior,9,4,9,23.0
1808940,159352,prior,83,2,10,3.0
2313653,65300,prior,6,1,15,1.0
723456,197517,prior,10,0,0,6.0
2413810,5129,prior,26,3,10,7.0
1627395,48196,prior,5,3,9,1.0
3373305,128814,prior,12,0,16,4.0
3167835,194972,prior,6,6,14,18.0
565550,12669,prior,17,2,10,0.0
315561,164285,prior,15,6,18,6.0
17127,52962,prior,41,6,10,6.0
2318810,100277,prior,3,0,13,21.0
3119908,200947,prior,20,3,14,12.0
139813,125806,prior,1,3,20,
